date,food,outfit,dwelling,health,beauty,remote,money,travel,kids,nonfood,telecom,fun,charity,misc
2020-02-24,6365058.180000093,1143598.66,906502.56,715006.7100000003,379311.3699999999,17893.189999999995,16440502.209999999,2151030.7100000004,297614.1400000001,1035839.2099999998,306175.48999999993,5474436.090000009,2674.0,518529.70999999996
2020-02-25,5923563.070000074,708489.0299999998,1550684.0999999992,1173367.099999999,434859.23000000004,28006.599999999995,37287516.38,3233381.1800000016,197743.98,853647.3300000007,360282.3299999999,2826504.500000004,4635.79,824215.2000000002
2020-02-26,5717440.570000019,883269.03,1405968.1999999997,1696896.9000000008,422622.26,21779.850000000002,36466381.57999999,3297692.709999993,179180.89000000004,1174591.1199999994,467880.11000000016,3187431.999999992,13431.24,723108.1100000001
2020-02-27,6086683.660000063,1292501.2000000004,1561288.0699999998,1266164.3600000003,345835.57,42481.26,32652388.619999994,2690980.460000002,266336.13,1159462.5499999996,568298.0,2391253.5999999987,6460.0,2204862.9899999998
2020-02-28,7657507.610000107,1026672.44,1837711.3100000005,1353798.6800000004,406534.57000000007,27424.82,44638514.20999999,3768266.5899999943,380755.57000000007,1012116.0799999991,411532.82999999996,3278149.789999991,9602.0,1205895.409999999
2020-02-29,8744954.090000102,1492581.2599999995,1891151.5800000008,1059192.5899999999,609042.7500000001,42938.08,26000134.720000006,2939576.5399999963,410630.52,1403258.3799999992,425617.94,3606707.9300000058,6089.0,1729993.6799999995
2020-03-01,7204867.550000105,1611744.9800000002,1561134.6799999995,789862.3299999997,414471.82999999996,38766.10999999999,18637482.98999999,2542833.2599999914,270140.42999999993,1436685.4600000004,402672.41,2495318.3799999994,2050.0,857131.83
2020-03-02,5563283.650000083,1065404.83,2242023.110000001,1160297.1300000001,455227.34,40757.389999999985,37604094.99,3093905.539999997,439564.73000000016,1382584.2299999988,547129.2000000001,2181918.729999992,2335.87,837415.3400000001
2020-03-03,5829257.730000102,1140629.49,1810397.1500000001,1732479.2100000011,682943.63,32616.68999999999,34625421.09999999,2967766.709999996,321840.04999999993,1275594.9600000004,578541.06,2033513.6199999955,33810.0,1156774.1799999997
2020-03-04,6382200.250000096,1261185.91,1617119.57,995990.1900000003,857000.2899999999,55834.38000000001,30754437.739999987,3639435.6799999955,272841.68999999994,1091651.1199999996,402546.8,2384693.589999996,5109.38,1051093.73
2020-03-05,7507437.350000121,960301.57,1024155.9400000001,1198320.4500000002,984633.23,42816.38999999999,50810606.41000002,3126159.6099999943,206048.86999999997,1880582.0600000008,725339.77,2719663.8900000006,4370.0,1339891.21
2020-03-06,8499538.820000136,1301506.2799999998,1645398.2499999998,1022713.11,883471.4000000004,66790.48999999999,47431237.519999996,3496126.6099999947,677076.5600000002,1596469.4499999997,456296.17000000004,5227638.81000002,5150.0,935085.8899999998
2020-03-07,8843466.110000152,2717896.2600000007,1954209.64,1057714.9599999997,1199577.3199999998,63315.03,28636541.06,3202697.4999999977,411599.67,1631459.5299999989,867795.8200000001,4352772.970000011,3087.0,783782.53
2020-03-08,8134012.630000115,1234383.3699999999,1118147.6400000001,443711.12000000005,706290.0899999999,29866.58,18048197.74,2349814.8199999975,258982.54999999996,882277.9000000003,689081.0800000001,5871500.940000029,1208.26,920601.57
2020-03-09,6417276.2000000775,1136904.2,1809491.6200000003,758196.8499999996,512128.68000000017,24604.9,17053130.360000003,2329642.039999998,287021.12000000005,1149760.0699999998,312658.21,3053260.389999997,2398.21,868590.8999999999
2020-03-10,5865214.600000081,1382168.4999999998,1611210.4299999995,961383.1099999999,416796.24000000005,44546.14000000001,42570040.8,3592756.329999995,239111.97999999992,835729.5100000005,585531.2400000001,2828349.780000006,2790.0,1079581.53
2020-03-11,6090186.050000108,1502212.15,2101416.0999999996,1004277.4200000005,432164.97000000003,60945.13999999998,37708054.429999985,3743821.9700000025,365158.01,1150931.8100000005,471457.54,2344678.0299999975,9320.14,1371775.02
